Site,Status,Tempo,Elemento_OK,Hora
Teste 500,Erro,,False,2025-08-21 11:54:27
Teste 301,200,0.19949793815612793,False,2025-08-21 11:54:27
Teste 403,Erro,,False,2025-08-21 11:54:27
Google,200,0.18795228004455566,False,2025-08-21 11:55:28
LinkedIn,200,0.2975132465362549,False,2025-08-21 11:55:34
Amazon,503,0.1874072551727295,True,2025-08-21 11:55:40
Globo,200,0.3321242332458496,False,2025-08-21 11:55:42
Teste 404,Erro,,False,2025-08-21 11:55:56
Teste 500,Erro,,False,2025-08-21 11:55:56
Teste 301,200,0.19754910469055176,False,2025-08-21 11:55:57
Teste 403,Erro,,False,2025-08-21 11:55:57
Google,200,0.23508691787719727,False,2025-08-21 11:56:57
LinkedIn,200,0.4739086627960205,False,2025-08-21 11:57:03
Amazon,503,0.21909880638122559,True,2025-08-21 11:57:10
Globo,200,0.13353562355041504,False,2025-08-21 11:57:12
Teste 404,Erro,,False,2025-08-21 11:57:22
Teste 500,Erro,,False,2025-08-21 11:57:23
Teste 301,200,0.21747231483459473,False,2025-08-21 11:57:23
Teste 403,Erro,,False,2025-08-21 11:57:23
Google,200,0.20188593864440918,False,2025-08-21 11:58:24
LinkedIn,200,0.40349602699279785,False,2025-08-21 11:58:30
Amazon,503,0.18389320373535156,True,2025-08-21 11:58:36
Globo,200,0.23377680778503418,False,2025-08-21 11:58:37
Teste 404,Erro,,False,2025-08-21 11:58:47
Teste 500,Erro,,False,2025-08-21 11:58:48
Teste 301,200,0.23222112655639648,False,2025-08-21 11:58:48
Teste 403,Erro,,False,2025-08-21 11:58:48
Google,200,0.20670771598815918,False,2025-08-21 11:59:48
LinkedIn,200,0.37776803970336914,False,2025-08-21 11:59:54
Amazon,503,0.5586743354797363,True,2025-08-21 12:00:01
Globo,200,0.16323566436767578,False,2025-08-21 12:00:03
Teste 404,Erro,,False,2025-08-21 12:00:13
Teste 500,Erro,,False,2025-08-21 12:00:13
Teste 301,200,0.25251340866088867,False,2025-08-21 12:00:14
Teste 403,Erro,,False,2025-08-21 12:00:14
Google,200,0.21193838119506836,False,2025-08-21 12:01:14
LinkedIn,200,0.33094191551208496,False,2025-08-21 12:01:20
Amazon,503,0.19309377670288086,True,2025-08-21 12:01:27
Globo,200,0.29701805114746094,False,2025-08-21 12:01:29
Teste 404,Erro,,False,2025-08-21 12:01:39
Teste 500,Erro,,False,2025-08-21 12:01:39
Teste 301,200,0.1956920623779297,False,2025-08-21 12:01:39
Teste 403,Erro,,False,2025-08-21 12:01:39
Google,200,0.23566460609436035,False,2025-08-21 12:02:40
LinkedIn,200,0.3301205635070801,False,2025-08-21 12:02:46
Amazon,503,0.23435020446777344,True,2025-08-21 12:02:52
Globo,200,0.17072319984436035,False,2025-08-21 12:02:54
Teste 404,Erro,,False,2025-08-21 12:03:04
Teste 500,Erro,,False,2025-08-21 12:03:04
Teste 301,200,0.24226140975952148,False,2025-08-21 12:03:05
Teste 403,Erro,,False,2025-08-21 12:03:05
Google,200,0.2089979648590088,False,2025-08-21 12:04:05
LinkedIn,200,0.3350508213043213,False,2025-08-21 12:04:11
Amazon,503,0.18155479431152344,True,2025-08-21 12:04:17
Globo,200,0.14316797256469727,False,2025-08-21 12:04:19
Teste 404,Erro,,False,2025-08-21 12:04:29
Teste 500,Erro,,False,2025-08-21 12:04:29
Teste 301,200,0.2195272445678711,False,2025-08-21 12:04:30
Teste 403,Erro,,False,2025-08-21 12:04:30
Google,200,0.20642399787902832,False,2025-08-21 12:05:30
LinkedIn,200,0.393308162689209,False,2025-08-21 12:05:36
Amazon,503,0.18158459663391113,True,2025-08-21 12:05:43
Globo,200,0.1100912094116211,False,2025-08-21 12:05:44
Teste 404,Erro,,False,2025-08-21 12:05:55
Teste 500,Erro,,False,2025-08-21 12:05:55
Teste 301,200,0.20948171615600586,False,2025-08-21 12:05:55
Teste 403,Erro,,False,2025-08-21 12:05:55
Google,200,0.20321035385131836,False,2025-08-21 12:06:56
LinkedIn,200,0.392711877822876,False,2025-08-21 12:07:02
Amazon,503,0.20568394660949707,True,2025-08-21 12:07:08
Globo,200,0.20383787155151367,False,2025-08-21 12:07:10
Teste 404,Erro,,False,2025-08-21 12:07:20
Teste 500,Erro,,False,2025-08-21 12:07:21
Teste 301,200,0.21820330619812012,False,2025-08-21 12:07:21
Teste 403,Erro,,False,2025-08-21 12:07:21
Google,200,0.2474353313446045,False,2025-08-21 12:08:22
LinkedIn,200,0.33579182624816895,False,2025-08-21 12:08:28
Amazon,503,0.1955580711364746,True,2025-08-21 12:08:34
Globo,200,0.15439081192016602,False,2025-08-21 12:08:36
Teste 404,Erro,,False,2025-08-21 12:08:47
Teste 500,Erro,,False,2025-08-21 12:08:47
Teste 301,200,0.21591830253601074,False,2025-08-21 12:08:47
Teste 403,Erro,,False,2025-08-21 12:08:48
Google,200,0.19243741035461426,False,2025-08-21 12:09:48
LinkedIn,200,0.33833861351013184,False,2025-08-21 12:09:54
Amazon,503,0.2352433204650879,True,2025-08-21 12:10:00
Globo,200,0.17313456535339355,False,2025-08-21 12:10:02
Teste 404,Erro,,False,2025-08-21 12:10:12
Teste 500,Erro,,False,2025-08-21 12:10:12
Teste 301,200,0.20167136192321777,False,2025-08-21 12:10:12
Teste 403,Erro,,False,2025-08-21 12:10:12
Google,200,0.19932222366333008,False,2025-08-21 12:11:13
LinkedIn,200,0.28575921058654785,False,2025-08-21 12:11:19
Amazon,503,0.26467037200927734,True,2025-08-21 12:11:25
Globo,200,0.22189116477966309,False,2025-08-21 12:11:27
Teste 404,Erro,,False,2025-08-21 12:11:36
Teste 500,Erro,,False,2025-08-21 12:11:37
Teste 301,200,0.20887970924377441,False,2025-08-21 12:11:37
Teste 403,Erro,,False,2025-08-21 12:11:37
Google,200,0.18394899368286133,False,2025-08-21 12:12:38
LinkedIn,200,0.38909220695495605,False,2025-08-21 12:12:44
Amazon,503,0.18340659141540527,True,2025-08-21 12:12:50
Globo,200,0.21119022369384766,False,2025-08-21 12:12:51
Teste 404,Erro,,False,2025-08-21 12:13:01
Teste 500,Erro,,False,2025-08-21 12:13:02
Teste 301,200,0.20896029472351074,False,2025-08-21 12:13:02
Teste 403,Erro,,False,2025-08-21 12:13:02
Google,200,0.21828436851501465,False,2025-08-21 12:14:03
LinkedIn,200,0.29846739768981934,False,2025-08-21 12:14:09
Amazon,503,0.528439998626709,True,2025-08-21 12:14:15
Globo,200,0.18672418594360352,False,2025-08-21 12:14:17
Teste 404,Erro,,False,2025-08-21 12:14:27
Teste 500,Erro,,False,2025-08-21 12:14:27
Teste 301,200,0.19557976722717285,False,2025-08-21 12:14:28
Teste 403,Erro,,False,2025-08-21 12:14:28
Google,200,0.17644810676574707,False,2025-08-21 12:15:28
LinkedIn,200,0.3564283847808838,False,2025-08-21 12:15:34
Amazon,503,0.19485974311828613,True,2025-08-21 12:15:41
Globo,200,0.265392541885376,False,2025-08-21 12:15:42
Teste 404,Erro,,False,2025-08-21 12:15:59
Teste 500,Erro,,False,2025-08-21 12:16:00
Teste 301,200,0.23784470558166504,False,2025-08-21 12:16:00
Teste 403,Erro,,False,2025-08-21 12:16:00
Google,200,0.20365214347839355,False,2025-08-21 12:17:00
LinkedIn,200,0.3939948081970215,False,2025-08-21 12:17:07
Amazon,503,0.2035350799560547,True,2025-08-21 12:17:13
Globo,200,0.12488222122192383,False,2025-08-21 12:17:15
Teste 404,Erro,,False,2025-08-21 12:17:25
Teste 500,Erro,,False,2025-08-21 12:17:25
Teste 301,200,0.1943504810333252,False,2025-08-21 12:17:26
Teste 403,Erro,,False,2025-08-21 12:17:26
Google,200,0.23868179321289062,False,2025-08-21 12:18:26
LinkedIn,200,0.34302520751953125,False,2025-08-21 12:18:32
Amazon,503,0.1957089900970459,True,2025-08-21 12:18:38
Globo,200,0.13121533393859863,False,2025-08-21 12:18:40
